"","date","Country.Region","confirmedCases","deaths"
"1",2020-01-22,"Canada",0,0
"2",2020-01-22,"US",1,0
"3",2020-01-23,"Canada",0,0
"4",2020-01-23,"US",1,0
"5",2020-01-24,"Canada",0,0
"6",2020-01-24,"US",2,0
"7",2020-01-25,"Canada",0,0
"8",2020-01-25,"US",2,0
"9",2020-01-26,"Canada",1,0
"10",2020-01-26,"US",5,0
"11",2020-01-27,"Canada",1,0
"12",2020-01-27,"US",5,0
"13",2020-01-28,"Canada",2,0
"14",2020-01-28,"US",5,0
"15",2020-01-29,"Canada",2,0
"16",2020-01-29,"US",5,0
"17",2020-01-30,"Canada",2,0
"18",2020-01-30,"US",5,0
"19",2020-01-31,"Canada",4,0
"20",2020-01-31,"US",7,0
"21",2020-02-01,"Canada",4,0
"22",2020-02-01,"US",8,0
"23",2020-02-02,"Canada",4,0
"24",2020-02-02,"US",8,0
"25",2020-02-03,"Canada",4,0
"26",2020-02-03,"US",11,0
"27",2020-02-04,"Canada",4,0
"28",2020-02-04,"US",11,0
"29",2020-02-05,"Canada",5,0
"30",2020-02-05,"US",11,0
"31",2020-02-06,"Canada",5,0
"32",2020-02-06,"US",11,0
"33",2020-02-07,"Canada",7,0
"34",2020-02-07,"US",11,0
"35",2020-02-08,"Canada",7,0
"36",2020-02-08,"US",11,0
"37",2020-02-09,"Canada",7,0
"38",2020-02-09,"US",11,0
"39",2020-02-10,"Canada",7,0
"40",2020-02-10,"US",11,0
"41",2020-02-11,"Canada",7,0
"42",2020-02-11,"US",12,0
"43",2020-02-12,"Canada",7,0
"44",2020-02-12,"US",12,0
"45",2020-02-13,"Canada",7,0
"46",2020-02-13,"US",13,0
"47",2020-02-14,"Canada",7,0
"48",2020-02-14,"US",13,0
"49",2020-02-15,"Canada",7,0
"50",2020-02-15,"US",13,0
"51",2020-02-16,"Canada",7,0
"52",2020-02-16,"US",13,0
"53",2020-02-17,"Canada",8,0
"54",2020-02-17,"US",13,0
"55",2020-02-18,"Canada",8,0
"56",2020-02-18,"US",13,0
"57",2020-02-19,"Canada",8,0
"58",2020-02-19,"US",13,0
"59",2020-02-20,"Canada",8,0
"60",2020-02-20,"US",13,0
"61",2020-02-21,"Canada",9,0
"62",2020-02-21,"US",15,0
"63",2020-02-22,"Canada",9,0
"64",2020-02-22,"US",15,0
"65",2020-02-23,"Canada",9,0
"66",2020-02-23,"US",15,0
"67",2020-02-24,"Canada",10,0
"68",2020-02-24,"US",51,0
"69",2020-02-25,"Canada",11,0
"70",2020-02-25,"US",51,0
"71",2020-02-26,"Canada",11,0
"72",2020-02-26,"US",57,0
"73",2020-02-27,"Canada",13,0
"74",2020-02-27,"US",58,0
"75",2020-02-28,"Canada",14,0
"76",2020-02-28,"US",60,0
"77",2020-02-29,"Canada",20,0
"78",2020-02-29,"US",68,1
"79",2020-03-01,"Canada",24,0
"80",2020-03-01,"US",74,1
"81",2020-03-02,"Canada",27,0
"82",2020-03-02,"US",98,6
"83",2020-03-03,"Canada",30,0
"84",2020-03-03,"US",118,7
"85",2020-03-04,"Canada",33,0
"86",2020-03-04,"US",149,11
"87",2020-03-05,"Canada",37,0
"88",2020-03-05,"US",217,12
"89",2020-03-06,"Canada",49,0
"90",2020-03-06,"US",262,14
"91",2020-03-07,"Canada",54,0
"92",2020-03-07,"US",402,17
"93",2020-03-08,"Canada",64,0
"94",2020-03-08,"US",518,21
"95",2020-03-09,"Canada",77,1
"96",2020-03-09,"US",583,22
"97",2020-03-10,"Canada",79,1
"98",2020-03-10,"US",959,28
"99",2020-03-11,"Canada",108,1
"100",2020-03-11,"US",1281,36
"101",2020-03-12,"Canada",117,1
"102",2020-03-12,"US",1663,40
"103",2020-03-13,"Canada",193,1
"104",2020-03-13,"US",2179,47
"105",2020-03-14,"Canada",198,1
"106",2020-03-14,"US",2727,54
"107",2020-03-15,"Canada",252,1
"108",2020-03-15,"US",3499,63
"109",2020-03-16,"Canada",415,4
"110",2020-03-16,"US",4632,85
"111",2020-03-17,"Canada",478,5
"112",2020-03-17,"US",6421,108
"113",2020-03-18,"Canada",657,8
"114",2020-03-18,"US",7783,118
"115",2020-03-19,"Canada",800,9
"116",2020-03-19,"US",13677,200
"117",2020-03-20,"Canada",943,12
"118",2020-03-20,"US",19100,244
"119",2020-03-21,"Canada",1277,19
"120",2020-03-21,"US",25489,307
"121",2020-03-22,"Canada",1469,21
"122",2020-03-22,"US",33276,417
"123",2020-03-23,"Canada",2088,25
"124",2020-03-23,"US",43847,557
"125",2020-03-24,"Canada",2790,26
"126",2020-03-24,"US",53740,706
"127",2020-03-25,"Canada",3251,30
"128",2020-03-25,"US",65778,942
"129",2020-03-26,"Canada",4042,38
"130",2020-03-26,"US",83836,1209
"131",2020-03-27,"Canada",4682,54
"132",2020-03-27,"US",101657,1581
"133",2020-03-28,"Canada",5576,61
"134",2020-03-28,"US",121478,2026
"135",2020-03-29,"Canada",6280,64
"136",2020-03-29,"US",140886,2467
"137",2020-03-30,"Canada",7398,80
"138",2020-03-30,"US",161807,2978
